,District,Latitude,Longitude,October 2024 Probability,October 2024 Tercile,October 2024 Probability Range,November 2024 Probability,November 2024 Tercile,November 2024 Probability Range,December 2024 Probability,December 2024 Tercile,December 2024 Probability Range,January 2025 Probability,January 2025 Tercile,January 2025 Probability Range,February 2025 Probability,February 2025 Tercile,February 2025 Probability Range
0,Daulo District,-6.092307692307692,145.19444444444446,40.51106370356747,above normal,40-50,45.55070998650742,above normal,40-50,41.52447196673014,above normal,40-50,36.36965716524122,near normal,<40,36.90589696288654,near normal,<40
1,Daulo District,-6.0,145.19444444444446,38.89562235314955,near normal,<40,44.70035103160614,above normal,40-50,40.90908229886237,above normal,40-50,36.29628101771296,below normal,<40,36.592613859112994,near normal,<40
2,Daulo District,-6.0,145.2888888888889,39.02154709310996,near normal,<40,44.16231088721373,above normal,40-50,41.25251291477202,above normal,40-50,36.92590291253616,below normal,<40,35.72259038752244,near normal,<40
3,Daulo District,-5.907692307692307,145.19444444444446,40.6634492762457,near normal,40-50,43.84999207670485,above normal,40-50,40.293692630994606,above normal,40-50,36.85572418939158,below normal,<40,36.27933075533945,near normal,<40
4,Daulo District,-5.907692307692307,145.2888888888889,41.036643857128695,near normal,40-50,43.67334621648674,above normal,40-50,40.8273307820219,above normal,40-50,37.39024235344534,below normal,<40,35.25714120477319,near normal,<40
5,Daulo District,-5.907692307692307,145.38333333333333,41.40983843801168,near normal,40-50,43.49670035626863,above normal,40-50,41.36096893304921,above normal,40-50,37.92476051749909,below normal,<40,34.59958547008024,above normal,<40
6,Goroka District,-6.092307692307692,145.2888888888889,40.258862627239516,above normal,40-50,44.65127555794071,above normal,40-50,41.67769504752213,above normal,40-50,36.461563471626995,below normal,<40,36.18803957027168,near normal,<40
7,Goroka District,-6.092307692307692,145.38333333333333,40.00666155091156,above normal,40-50,43.75184112937399,above normal,40-50,41.83091812831412,above normal,40-50,37.18628909721966,below normal,<40,35.47018217765681,near normal,<40
8,Goroka District,-6.0,145.38333333333333,39.14747183307036,near normal,<40,43.62427074282132,above normal,40-50,41.59594353068166,above normal,40-50,37.55552480735937,below normal,<40,34.85256691593188,near normal,<40
9,Henganofi District,-6.369230769230769,145.57222222222222,49.29802346593944,above normal,40-50,43.89149884049596,above normal,40-50,42.95414294620998,above normal,40-50,37.03143184416105,near normal,<40,35.9976707248965,near normal,<40
10,Henganofi District,-6.276923076923077,145.57222222222222,45.59001900163684,above normal,40-50,44.267433033008814,above normal,40-50,42.78631066333668,above normal,40-50,35.993110382345996,near normal,<40,35.73360370102064,near normal,<40
11,Henganofi District,-6.276923076923077,145.66666666666666,43.12379289379491,above normal,40-50,44.77325287164806,above normal,40-50,43.12974677541415,above normal,40-50,35.28316549095704,near normal,<40,35.232186484556635,near normal,<40
12,Henganofi District,-6.184615384615384,145.57222222222222,41.88201453733419,above normal,40-50,44.64336722552166,above normal,40-50,42.61847838046337,above normal,40-50,36.0140356836776,below normal,<40,35.469536677144774,near normal,<40
13,Henganofi District,-6.184615384615384,145.66666666666666,40.11956921546079,above normal,40-50,45.37744028718893,above normal,40-50,42.96191449254084,above normal,40-50,35.35076300808917,below normal,<40,35.21539382553564,near normal,<40
14,Henganofi District,-6.184615384615384,145.76111111111112,38.35712389358685,above normal,<40,46.11151334885643,above normal,40-50,43.30535060461841,above normal,40-50,34.687490332500545,below normal,<40,34.96125097392643,near normal,<40
15,Henganofi District,-6.092307692307692,145.66666666666666,37.11534553712669,above normal,<40,45.981627702729796,above normal,40-50,42.79408220966754,above normal,40-50,35.98852127500394,below normal,<40,35.19860116651465,near normal,<40
16,Henganofi District,-6.092307692307692,145.76111111111112,36.83905841000122,near normal,<40,46.94395398742538,above normal,40-50,43.13751832174511,above normal,40-50,35.43937520843512,below normal,<40,35.19173267976039,near normal,<40
17,Henganofi District,-6.0,145.66666666666666,38.43435650945679,near normal,<40,46.585815118270666,above normal,40-50,42.626249926794245,above normal,40-50,36.626279541918706,below normal,<40,35.181808507493656,near normal,<40
18,Henganofi District,-6.0,145.76111111111112,38.14815903722678,near normal,<40,47.77639462599434,above normal,40-50,42.969686038871814,above normal,40-50,36.19126008436969,below normal,<40,35.42221438559434,near normal,<40
19,Kainanatu District,-6.461538461538462,145.85555555555555,41.44980711134001,above normal,40-50,45.596423395023024,above normal,40-50,42.91416376802503,above normal,40-50,35.052801903264154,near normal,<40,33.922603270724515,below normal,<40
20,Kainanatu District,-6.461538461538462,145.95,38.41435734664309,above normal,<40,45.72058850033599,above normal,40-50,43.048015581555376,above normal,40-50,34.720406276564944,above normal,<40,34.18150162152655,below normal,<40
