District,Latitude,Longitude,February 2025 Probability,February 2025 Tercile,February 2025 Probability Range,March 2025 Probability,March 2025 Tercile,March 2025 Probability Range,April 2025 Probability,April 2025 Tercile,April 2025 Probability Range,May 2025 Probability,May 2025 Tercile,May 2025 Probability Range,June 2025 Probability,June 2025 Tercile,June 2025 Probability Range
Daulo District,-6.092307692307692,145.19444444444446,52.52844693929982,below normal,50-60,45.187211658855624,below normal,40-50,44.377533404617864,below normal,40-50,35.915566784525105,below normal,<40,38.190015441460126,above normal,<40
Daulo District,-6.0,145.19444444444446,55.02357009992676,below normal,50-60,45.85854779943722,below normal,40-50,43.05726408365906,below normal,40-50,36.19529193946572,below normal,<40,39.38722275223091,above normal,<40
Daulo District,-6.0,145.2888888888889,55.03501701178505,below normal,50-60,47.40398308231847,below normal,40-50,42.015525425671555,below normal,40-50,35.96633819714084,below normal,<40,38.74615307884843,above normal,<40
Daulo District,-5.907692307692307,145.19444444444446,57.51869326055372,below normal,50-60,46.52988394001882,below normal,40-50,41.736994762700235,below normal,40-50,36.47501709440634,below normal,<40,40.584430063001705,above normal,40-50
Daulo District,-5.907692307692307,145.2888888888889,56.826372252943706,below normal,50-60,47.790007893410994,below normal,40-50,40.25777878603896,below normal,40-50,36.055855794516056,below normal,<40,39.79119438048098,above normal,<40
Daulo District,-5.907692307692307,145.38333333333333,56.13405124533369,below normal,50-60,49.05013184680317,below normal,40-50,38.778562809377696,below normal,<40,35.63669449462577,below normal,<40,38.99795869796026,above normal,<40
Goroka District,-6.092307692307692,145.2888888888889,53.24366177062642,below normal,50-60,47.01795827122594,below normal,40-50,43.77327206530412,below normal,40-50,35.87682059976564,below normal,<40,37.701111777215885,above normal,<40
Goroka District,-6.092307692307692,145.38333333333333,53.958876601953015,below normal,50-60,48.84870488359627,below normal,40-50,43.16901072599037,below normal,40-50,35.83807441500616,below normal,<40,37.8432217004071,near normal,<40
Goroka District,-6.0,145.38333333333333,55.04646392364335,below normal,50-60,48.94941836519972,below normal,40-50,40.97378676768405,below normal,40-50,35.73738445481597,below normal,<40,38.10508340546595,above normal,<40
Henganofi District,-6.369230769230769,145.57222222222222,55.00097892644759,below normal,50-60,47.09720926260821,below normal,40-50,48.27263973311278,below normal,40-50,41.30960311704787,above normal,40-50,44.05812289561478,near normal,40-50
Henganofi District,-6.276923076923077,145.57222222222222,55.43287773449386,below normal,50-60,47.34783202475256,below normal,40-50,46.643528966131974,below normal,40-50,39.933366098356124,above normal,<40,41.927766792150116,near normal,40-50
Henganofi District,-6.276923076923077,145.66666666666666,57.19356175903537,below normal,50-60,46.04418245689636,below normal,40-50,46.02939416711316,below normal,40-50,40.393923140664334,above normal,40-50,41.51687606160965,near normal,40-50
Henganofi District,-6.184615384615384,145.57222222222222,55.86477654254013,below normal,50-60,47.59845478689692,below normal,40-50,45.01441819915116,below normal,40-50,38.557129079664364,above normal,<40,39.79741068868544,near normal,<40
Henganofi District,-6.184615384615384,145.66666666666666,57.378186306984865,below normal,50-60,46.44697401443881,below normal,40-50,44.837768729303946,below normal,40-50,39.30300263080368,above normal,<40,39.51966759675078,near normal,<40
Henganofi District,-6.184615384615384,145.76111111111112,58.89159607143005,below normal,50-60,45.29549324198035,below normal,40-50,44.66111925945668,below normal,40-50,40.04887618194323,above normal,40-50,39.241924504816026,near normal,<40
Henganofi District,-6.092307692307692,145.66666666666666,57.562810854934355,below normal,50-60,46.84976557198126,below normal,40-50,43.646143291494745,below normal,40-50,38.21208212094304,above normal,<40,37.52245913189192,near normal,<40
Henganofi District,-6.092307692307692,145.76111111111112,58.828946359282696,below normal,50-60,45.850453594920936,below normal,40-50,43.90697915081921,below normal,40-50,39.24327218091378,above normal,<40,37.37786367856301,near normal,<40
Henganofi District,-6.0,145.66666666666666,57.747435402883845,below normal,50-60,47.2525571295237,below normal,40-50,42.454517853685545,below normal,40-50,37.1211616110824,above normal,<40,37.63636788355113,above normal,<40
Henganofi District,-6.0,145.76111111111112,58.76629664713534,below normal,50-60,46.40541394786152,below normal,40-50,43.152839042181746,below normal,40-50,38.43766817988433,above normal,<40,37.54478471105468,above normal,<40
Kainanatu District,-6.461538461538462,145.85555555555555,58.96332526952479,below normal,50-60,41.413230247717614,below normal,40-50,44.23328082729809,below normal,40-50,42.453354877708165,above normal,40-50,41.75903799330439,near normal,40-50
Kainanatu District,-6.461538461538462,145.95,60.96406242925028,below normal,60-70,40.58369921921418,below normal,40-50,43.253166193745024,below normal,40-50,42.47801188143359,above normal,40-50,41.27646595107254,near normal,40-50
Kainanatu District,-6.461538461538462,146.04444444444445,62.964799588976376,below normal,60-70,39.7541681907105,below normal,<40,42.27305156019166,below normal,40-50,42.502668885159025,above normal,40-50,40.79389390884054,near normal,40-50
Kainanatu District,-6.369230769230769,145.66666666666666,57.00893721108587,below normal,50-60,45.641390899353915,below normal,40-50,47.22101960492236,below normal,40-50,41.48484365052497,above normal,40-50,43.51408452646851,near normal,40-50
Kainanatu District,-6.369230769230769,145.76111111111112,59.01689549572477,below normal,50-60,44.18557253609918,below normal,40-50,46.16939947673163,below normal,40-50,41.66008418400214,above normal,40-50,42.970046157322074,near normal,40-50
Kainanatu District,-6.369230769230769,145.85555555555555,61.02485378036305,below normal,60-70,42.729754172844885,below normal,40-50,45.11777934854121,below normal,40-50,41.835324717479246,above normal,40-50,42.4260077881758,near normal,40-50
Kainanatu District,-6.369230769230769,145.95,63.03281206500134,below normal,60-70,41.27393580959059,below normal,40-50,44.0661592203508,below normal,40-50,42.01056525095635,above normal,40-50,41.88196941902953,near normal,40-50
Kainanatu District,-6.369230769230769,146.04444444444445,65.04077034964024,below normal,60-70,39.818117446335854,below normal,<40,43.014539092160064,below normal,40-50,42.18580578443351,above normal,40-50,41.337931049883096,near normal,40-50
Kainanatu District,-6.276923076923077,145.76111111111112,58.95424578357741,below normal,50-60,44.74053288903976,below normal,40-50,45.415259368094155,below normal,40-50,40.85448018297269,above normal,40-50,41.10598533106906,near normal,40-50
Kainanatu District,-6.276923076923077,145.85555555555555,60.714929808118924,below normal,60-70,43.43688332118356,below normal,40-50,44.80112456907534,below normal,40-50,41.3150372252809,above normal,40-50,40.69509460052859,near normal,40-50
Kainanatu District,-6.276923076923077,145.95,62.475613832660436,below normal,60-70,42.13323375332736,below normal,40-50,44.18698977005653,below normal,40-50,41.77559426758911,above normal,40-50,40.28420386998812,near normal,40-50
Kainanatu District,-6.276923076923077,146.04444444444445,64.23629785720249,below normal,60-70,40.829584185470765,below normal,40-50,43.57285497103752,below normal,40-50,42.236151309897465,above normal,40-50,39.87331313944753,near normal,<40
Kainanatu District,-6.184615384615384,145.85555555555555,60.40500583587479,below normal,60-70,44.144012469522245,below normal,40-50,44.48446978960947,below normal,40-50,40.79474973308255,above normal,40-50,38.964181412881366,near normal,<40
Kainanatu District,-6.184615384615384,145.95,61.91841560031952,below normal,60-70,42.99253169706414,below normal,40-50,44.30782031976226,below normal,40-50,41.540623284221866,above normal,40-50,38.6864383209467,near normal,<40
Kainanatu District,-6.184615384615384,146.04444444444445,63.43182536476471,below normal,60-70,41.841050924605675,below normal,40-50,44.131170849914994,below normal,40-50,42.28649683536141,above normal,40-50,38.40869522901195,near normal,<40
