District,Latitude,Longitude,October 2024 Probability,October 2024 Tercile,October 2024 Probability Range,November 2024 Probability,November 2024 Tercile,November 2024 Probability Range,December 2024 Probability,December 2024 Tercile,December 2024 Probability Range,January 2025 Probability,January 2025 Tercile,January 2025 Probability Range,February 2025 Probability,February 2025 Tercile,February 2025 Probability Range
Bulolo District,-7.938461538461539,146.8,37.08757215798297,above normal,<40,48.01536873043619,above normal,40-50,43.91828731338514,above normal,40-50,47.09034631875746,above normal,40-50,35.11874948969363,below normal,<40
Bulolo District,-7.938461538461539,146.89444444444445,35.17061285477757,below normal,<40,47.55128935328216,above normal,40-50,43.82793739009372,above normal,40-50,47.928154462287246,above normal,40-50,35.799458333451206,below normal,<40
Bulolo District,-7.938461538461539,146.98888888888888,38.47817048716323,below normal,<40,47.08720997612812,above normal,40-50,43.73758746680231,above normal,40-50,48.76596260581703,above normal,40-50,36.48016717720878,below normal,<40
Bulolo District,-7.938461538461539,147.08333333333334,41.78543609008123,below normal,40-50,46.62319031545549,above normal,40-50,43.64726510630278,above normal,40-50,49.603734365067034,above normal,40-50,37.16079847291796,below normal,<40
Bulolo District,-7.938461538461539,147.17777777777778,39.670434809304666,below normal,<40,47.26795841422269,above normal,40-50,44.0687158023311,above normal,40-50,49.76593979330717,above normal,40-50,36.40155379402657,below normal,<40
Bulolo District,-7.938461538461539,147.2722222222222,37.5554335285281,below normal,<40,47.91272651298989,above normal,40-50,44.490166498359415,above normal,40-50,49.928145221547304,above normal,40-50,35.64230911513517,below normal,<40
Bulolo District,-7.938461538461539,147.36666666666667,35.4404322477509,below normal,<40,48.55749461175729,above normal,40-50,44.911617194387865,above normal,40-50,50.09035064978749,above normal,50-60,34.88306443624355,below normal,<40
Bulolo District,-7.938461538461539,147.4611111111111,34.05209643346916,near normal,<40,49.202262710524494,above normal,40-50,45.33306789041618,above normal,40-50,50.25255607802762,above normal,50-60,35.669501506738044,near normal,<40
Bulolo District,-7.846153846153846,146.8,37.03721909643066,above normal,<40,47.62935150610388,above normal,40-50,44.02905687493466,above normal,40-50,48.1409834252607,above normal,40-50,35.236228602517116,below normal,<40
Bulolo District,-7.846153846153846,146.89444444444445,35.0475278396885,below normal,<40,47.07016665801556,above normal,40-50,43.95772798746488,above normal,40-50,49.18802368615815,above normal,40-50,35.821831940421035,below normal,<40
